,Role,Company,Stipend,Duration,Location
0,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
2,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
3,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
4,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
6,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
8,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
9,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
10,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
11,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
12,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
13,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
14,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
15,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
16,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
17,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
18,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
19,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
20,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
21,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
22,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
23,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
24,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
25,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
26,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
27,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
28,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
29,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
30,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
31,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
32,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
33,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
34,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
35,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
36,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
37,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
38,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
39,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
40,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
41,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
42,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
43,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
44,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
45,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
46,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
47,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
48,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
49,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
50,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
51,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
52,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
53,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
54,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
55,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
56,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
57,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
58,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
59,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
60,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
61,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
62,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
63,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
64,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
65,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
